epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.457,0.02347,4.45242,4.10423,0.00049,0.19372,0.00073,0.00019,0.02351,3.68699,3.96475,0.0705882,0.00326797,0.00326797
2,30.8166,0.02322,3.90133,3.799,0.00066,0.22594,0.01671,0.00253,0.02335,3.75918,3.83349,0.0405538,0.00656691,0.00656691
3,39.9889,0.02198,3.44928,3.52627,0.69106,0.01572,0.01238,0.00281,0.02183,3.89212,3.45122,0.0104847,0.00983111,0.00983111
4,49.1812,0.02006,3.11576,3.23787,0.08856,0.24236,0.07537,0.01806,0.01949,7.95444,3.11313,0.00984368,0.00984368,0.00984368
5,58.3231,0.01766,2.83156,2.94362,0.3279,0.27191,0.14262,0.04457,0.01772,4.61534,2.96408,0.00979158,0.00979158,0.00979158
6,67.4517,0.01599,2.63685,2.71101,0.21207,0.3271,0.16637,0.05178,0.01708,3.03585,2.80612,0.00973947,0.00973947,0.00973947
7,76.6668,0.01461,2.48351,2.5894,0.41391,0.37201,0.33846,0.12848,0.01493,2.56549,2.57779,0.00968737,0.00968737,0.00968737
8,85.8632,0.01391,2.3391,2.48406,0.61631,0.21526,0.25147,0.10116,0.01585,2.94034,2.69255,0.00963526,0.00963526,0.00963526
9,95.0635,0.01361,2.25256,2.41091,0.5048,0.29056,0.3085,0.11514,0.01597,2.63721,2.70598,0.00958316,0.00958316,0.00958316
10,104.3,0.01295,2.13812,2.3357,0.61009,0.21804,0.18809,0.06874,0.01624,3.32591,2.81495,0.00953105,0.00953105,0.00953105
11,113.488,0.01259,2.09708,2.30071,0.39656,0.4714,0.44178,0.17917,0.01387,2.42303,2.42713,0.00947895,0.00947895,0.00947895
12,122.707,0.0123,2.02339,2.23367,0.54114,0.52669,0.53085,0.21614,0.01333,1.99164,2.30608,0.00942684,0.00942684,0.00942684
13,131.989,0.0121,2.01159,2.21914,0.66782,0.51507,0.5379,0.22738,0.01316,2.26682,2.29415,0.00937474,0.00937474,0.00937474
14,141.224,0.01186,1.96969,2.19427,0.52234,0.55516,0.54999,0.24607,0.0128,1.96142,2.25574,0.00932263,0.00932263,0.00932263
15,150.542,0.01187,1.95789,2.18432,0.53908,0.52012,0.53623,0.23988,0.0135,1.96179,2.29022,0.00927053,0.00927053,0.00927053
16,159.785,0.01174,1.90844,2.15356,0.69936,0.50009,0.57936,0.26446,0.01273,1.80504,2.19588,0.00921842,0.00921842,0.00921842
17,169.012,0.01154,1.88646,2.1317,0.4831,0.53209,0.55008,0.2439,0.01276,1.89216,2.23302,0.00916632,0.00916632,0.00916632
18,178.215,0.01142,1.84239,2.10761,0.50492,0.56977,0.56576,0.2455,0.01268,1.86159,2.22372,0.00911421,0.00911421,0.00911421
19,187.411,0.01126,1.81279,2.09582,0.69827,0.56649,0.5977,0.27116,0.01284,1.75097,2.19292,0.00906211,0.00906211,0.00906211
20,196.635,0.01131,1.79832,2.09218,0.74878,0.54572,0.66241,0.29694,0.01226,1.65209,2.13414,0.00901,0.00901,0.00901
21,205.862,0.01113,1.77175,2.06536,0.55461,0.62537,0.61678,0.29009,0.01227,1.66952,2.16194,0.00895789,0.00895789,0.00895789
