epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64934,0.02356,4.53015,4.18027,0.00053,0.14935,0.00053,0.00015,0.02356,3.86102,4.08616,0.0705882,0.00326797,0.00326797
2,17.8482,0.02351,4.28558,3.95654,0.00049,0.19877,0.00135,0.00034,0.02343,3.69344,3.89311,0.0405538,0.00656691,0.00656691
3,25.9731,0.02229,3.92862,3.557,0.68237,0.06098,0.01865,0.00375,0.02243,3.56586,3.52685,0.0104847,0.00983111,0.00983111
4,34.1727,0.01946,3.41306,3.12749,0.24046,0.19758,0.05543,0.01211,0.01977,6.41787,3.26025,0.00984368,0.00984368,0.00984368
5,42.3159,0.01718,2.9826,2.82309,0.31022,0.17847,0.12355,0.03488,0.01798,4.53055,2.92496,0.00979158,0.00979158,0.00979158
6,50.4844,0.01569,2.69115,2.62127,0.3853,0.21192,0.186,0.06353,0.01656,2.85551,2.71419,0.00973947,0.00973947,0.00973947
7,58.6351,0.01443,2.51435,2.51779,0.47081,0.2456,0.28534,0.10306,0.01538,2.64736,2.66647,0.00968737,0.00968737,0.00968737
8,66.9292,0.01382,2.37887,2.43674,0.40057,0.22503,0.17846,0.06401,0.01667,3.05693,2.7473,0.00963526,0.00963526,0.00963526
9,74.9969,0.01351,2.29996,2.37709,0.6218,0.29922,0.32226,0.1348,0.01553,2.74351,2.72362,0.00958316,0.00958316,0.00958316
10,83.0833,0.01289,2.17916,2.31057,0.42282,0.44049,0.42341,0.16221,0.01458,2.18264,2.53739,0.00953105,0.00953105,0.00953105
11,91.188,0.01257,2.12796,2.28747,0.58776,0.41591,0.43395,0.1637,0.01416,2.23428,2.48332,0.00947895,0.00947895,0.00947895
12,99.3015,0.01226,2.07174,2.22273,0.56877,0.45768,0.46735,0.1869,0.01404,2.50694,2.46986,0.00942684,0.00942684,0.00942684
13,107.457,0.01208,2.04887,2.21492,0.53637,0.38526,0.40466,0.15422,0.01455,2.33905,2.52316,0.00937474,0.00937474,0.00937474
14,115.584,0.0118,1.99006,2.19439,0.71609,0.52385,0.60283,0.27419,0.01259,1.79519,2.24405,0.00932263,0.00932263,0.00932263
15,123.733,0.01185,1.99711,2.19222,0.48783,0.55544,0.53958,0.25003,0.01337,1.9034,2.33889,0.00927053,0.00927053,0.00927053
16,131.85,0.01167,1.93519,2.14991,0.65949,0.50859,0.54972,0.23921,0.01281,1.88112,2.23952,0.00921842,0.00921842,0.00921842
17,140.037,0.01158,1.90443,2.14485,0.71828,0.40358,0.49955,0.21366,0.01332,1.95327,2.28701,0.00916632,0.00916632,0.00916632
18,148.178,0.01137,1.86947,2.11195,0.67182,0.52048,0.60803,0.27399,0.01246,1.77464,2.17284,0.00911421,0.00911421,0.00911421
19,156.369,0.01124,1.83086,2.10175,0.71723,0.55938,0.60314,0.27739,0.01234,1.75428,2.19365,0.00906211,0.00906211,0.00906211
20,164.513,0.01119,1.81999,2.0954,0.55236,0.52894,0.53881,0.24143,0.01283,1.85594,2.24374,0.00901,0.00901,0.00901
21,172.65,0.01107,1.77832,2.08096,0.37195,0.45606,0.39338,0.16805,0.01466,2.61431,2.5261,0.00895789,0.00895789,0.00895789
22,180.768,0.01108,1.7764,2.07549,0.52997,0.58854,0.59637,0.27363,0.01218,1.70175,2.13729,0.00890579,0.00890579,0.00890579
23,188.913,0.01107,1.76167,2.07163,0.71938,0.53051,0.61536,0.28884,0.01195,1.68624,2.11237,0.00885368,0.00885368,0.00885368
24,197.053,0.01094,1.73669,2.03637,0.52704,0.61911,0.59339,0.26478,0.01302,1.7844,2.23402,0.00880158,0.00880158,0.00880158
25,205.2,0.01099,1.73957,2.05051,0.61973,0.56794,0.62417,0.30026,0.01187,1.61355,2.07934,0.00874947,0.00874947,0.00874947
26,213.372,0.01074,1.6894,2.0224,0.67864,0.54181,0.58435,0.27308,0.01197,1.75309,2.13162,0.00869737,0.00869737,0.00869737
27,221.503,0.01076,1.7009,2.02684,0.60542,0.61194,0.65463,0.31996,0.01189,1.62162,2.10087,0.00864526,0.00864526,0.00864526
28,229.621,0.01059,1.66557,2.00511,0.74976,0.58879,0.65154,0.32381,0.01177,1.59358,2.09972,0.00859316,0.00859316,0.00859316
29,237.763,0.01056,1.65872,1.98349,0.58351,0.58425,0.64005,0.31286,0.01214,1.68977,2.14736,0.00854105,0.00854105,0.00854105
30,245.951,0.0107,1.65507,2.00754,0.66351,0.62368,0.6762,0.33242,0.01182,1.59614,2.07522,0.00848895,0.00848895,0.00848895
31,254.191,0.01062,1.62748,2.00081,0.70459,0.63146,0.69714,0.33989,0.01144,1.51298,2.05527,0.00843684,0.00843684,0.00843684
32,262.424,0.0104,1.61714,1.96218,0.54933,0.59454,0.60471,0.29538,0.01212,1.66674,2.11403,0.00838474,0.00838474,0.00838474
33,270.589,0.0105,1.62959,1.97362,0.68572,0.63998,0.69519,0.33803,0.01167,1.54264,2.06113,0.00833263,0.00833263,0.00833263
34,278.741,0.01042,1.63061,1.97075,0.76142,0.59527,0.67701,0.3429,0.01135,1.50783,2.02696,0.00828053,0.00828053,0.00828053
35,286.905,0.01049,1.62061,1.98315,0.77281,0.58735,0.69076,0.33385,0.01153,1.50357,2.02574,0.00822842,0.00822842,0.00822842
36,295.057,0.01037,1.60102,1.95455,0.54892,0.53337,0.53914,0.24617,0.01328,1.87694,2.29392,0.00817632,0.00817632,0.00817632
37,303.2,0.01029,1.57856,1.95285,0.68167,0.62108,0.67203,0.33538,0.01181,1.53839,2.07325,0.00812421,0.00812421,0.00812421
38,311.343,0.01033,1.57692,1.9632,0.61328,0.56525,0.61641,0.30156,0.01207,1.69483,2.18838,0.00807211,0.00807211,0.00807211
39,319.502,0.01028,1.55792,1.94531,0.65281,0.67457,0.71095,0.37425,0.01119,1.46238,2.0135,0.00802,0.00802,0.00802
40,327.691,0.01033,1.58846,1.96314,0.62687,0.63224,0.67299,0.34724,0.01169,1.52431,2.08477,0.00796789,0.00796789,0.00796789
