epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.11863,0.02345,4.4403,4.16632,0.00057,0.16381,0.00113,0.00029,0.02351,3.82411,4.0336,0.0705882,0.00326797,0.00326797
2,15.3304,0.0234,4.10269,3.90388,0.00076,0.25352,0.02257,0.0027,0.02342,3.7639,3.89,0.0405538,0.00656691,0.00656691
3,22.4065,0.02221,3.66701,3.59185,0.34538,0.01774,0.0086,0.00219,0.02278,4.09603,3.65605,0.0104847,0.00983111,0.00983111
4,29.5676,0.01994,3.21042,3.21692,0.06956,0.09441,0.03987,0.00845,0.02087,6.20042,3.40187,0.00984368,0.00984368,0.00984368
5,36.7909,0.01789,2.93471,2.95666,0.25223,0.23702,0.08117,0.02042,0.0185,4.85779,3.01541,0.00979158,0.00979158,0.00979158
6,44.0229,0.01627,2.73933,2.74244,0.19165,0.38873,0.17528,0.05038,0.01621,3.33789,2.69928,0.00973947,0.00973947,0.00973947
7,51.2416,0.01481,2.57023,2.61722,0.28635,0.44652,0.28021,0.09922,0.01526,2.55644,2.58727,0.00968737,0.00968737,0.00968737
8,58.4218,0.01399,2.42283,2.50129,0.46812,0.30841,0.28437,0.1115,0.01509,2.92987,2.62409,0.00963526,0.00963526,0.00963526
9,65.6013,0.01373,2.31941,2.43379,0.4005,0.16184,0.1336,0.05301,0.01683,3.36913,2.764,0.00958316,0.00958316,0.00958316
10,72.7682,0.01302,2.20327,2.35461,0.4757,0.43735,0.4346,0.19157,0.01387,2.19127,2.44784,0.00953105,0.00953105,0.00953105
11,79.8159,0.01263,2.13401,2.31617,0.56823,0.34418,0.35115,0.13981,0.014,2.57916,2.42964,0.00947895,0.00947895,0.00947895
12,86.787,0.01236,2.07243,2.26789,0.54962,0.52289,0.52891,0.21702,0.01311,2.08212,2.35295,0.00942684,0.00942684,0.00942684
13,93.7637,0.01213,2.05091,2.24993,0.44876,0.51552,0.49417,0.20067,0.01378,2.22777,2.41054,0.00937474,0.00937474,0.00937474
14,100.728,0.0119,1.99931,2.23369,0.43009,0.55037,0.5034,0.20613,0.01363,2.27075,2.3867,0.00932263,0.00932263,0.00932263
15,107.711,0.01193,1.99989,2.21987,0.53685,0.44537,0.48623,0.20783,0.01366,2.10185,2.4022,0.00927053,0.00927053,0.00927053
16,114.69,0.01171,1.92991,2.18043,0.53364,0.62644,0.59261,0.26209,0.01264,1.8591,2.26229,0.00921842,0.00921842,0.00921842
17,121.672,0.01156,1.91668,2.17565,0.62675,0.49226,0.56496,0.25623,0.01279,1.86891,2.2535,0.00916632,0.00916632,0.00916632
18,128.634,0.01143,1.87902,2.14545,0.66814,0.48906,0.53483,0.23549,0.01325,1.92188,2.33407,0.00911421,0.00911421,0.00911421
19,135.648,0.01122,1.84146,2.12484,0.5972,0.53208,0.53793,0.24901,0.01314,1.90235,2.36368,0.00906211,0.00906211,0.00906211
20,142.583,0.01122,1.82673,2.12297,0.69711,0.46141,0.51942,0.2269,0.01369,1.99109,2.39284,0.00901,0.00901,0.00901
21,149.58,0.01107,1.78079,2.10704,0.59958,0.58349,0.60752,0.28485,0.01244,1.71445,2.1863,0.00895789,0.00895789,0.00895789
22,156.544,0.01112,1.78538,2.09708,0.57137,0.37531,0.41169,0.17946,0.01461,2.27045,2.48134,0.00890579,0.00890579,0.00890579
23,163.523,0.01112,1.77583,2.0958,0.6753,0.59003,0.62675,0.30388,0.01169,1.70961,2.14032,0.00885368,0.00885368,0.00885368
24,170.505,0.01098,1.75451,2.05812,0.54101,0.52839,0.54856,0.24064,0.01366,1.94677,2.34953,0.00880158,0.00880158,0.00880158
25,177.507,0.01089,1.74257,2.05499,0.65474,0.58775,0.6341,0.31846,0.01163,1.62942,2.09936,0.00874947,0.00874947,0.00874947
26,184.479,0.01077,1.70686,2.04206,0.75109,0.58211,0.66063,0.32465,0.01184,1.5988,2.07685,0.00869737,0.00869737,0.00869737
27,191.933,0.01076,1.72059,2.04002,0.66073,0.57548,0.63096,0.29801,0.0121,1.69324,2.13488,0.00864526,0.00864526,0.00864526
28,198.975,0.0107,1.67773,2.02482,0.59733,0.57625,0.58329,0.27022,0.0125,1.77223,2.21091,0.00859316,0.00859316,0.00859316
29,206.052,0.0106,1.66008,1.99398,0.62443,0.64461,0.64515,0.31886,0.01164,1.59503,2.06992,0.00854105,0.00854105,0.00854105
30,213.04,0.01073,1.66683,2.01644,0.53759,0.56553,0.57927,0.27724,0.01272,1.85322,2.23871,0.00848895,0.00848895,0.00848895
