epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9379,0.02349,4.47067,4.1352,0.00063,0.16237,0.00061,0.00016,0.02352,3.80886,4.00714,0.0705882,0.00326797,0.00326797
2,23.0196,0.02339,4.17214,3.88032,0.00086,0.2522,0.00295,0.00059,0.02336,3.73168,3.84469,0.0405538,0.00656691,0.00656691
3,33.0553,0.02224,3.79404,3.57406,0.54515,0.04985,0.02294,0.00479,0.02214,3.7402,3.49747,0.0104847,0.00983111,0.00983111
4,43.3418,0.01977,3.34056,3.18114,0.202,0.26888,0.03541,0.00876,0.01999,11.5019,3.31034,0.00984368,0.00984368,0.00984368
5,53.668,0.0174,3.01399,2.88569,0.28609,0.20788,0.09186,0.02341,0.01848,6.37012,3.03099,0.00979158,0.00979158,0.00979158
6,63.8225,0.01596,2.80238,2.71079,0.26972,0.22576,0.11889,0.03516,0.01654,3.79883,2.80589,0.00973947,0.00973947,0.00973947
7,73.9618,0.01475,2.62872,2.61102,0.28965,0.31076,0.21835,0.07752,0.01617,2.95738,2.73981,0.00968737,0.00968737,0.00968737
8,84.1331,0.01401,2.46711,2.50308,0.44243,0.26502,0.23313,0.07559,0.0156,2.71612,2.66905,0.00963526,0.00963526,0.00963526
9,94.2876,0.01371,2.3766,2.42995,0.3416,0.45991,0.36746,0.13788,0.01466,2.58654,2.54212,0.00958316,0.00958316,0.00958316
10,104.412,0.01305,2.24342,2.35311,0.42008,0.41933,0.33811,0.13203,0.01455,2.54483,2.57428,0.00953105,0.00953105,0.00953105
11,114.53,0.0127,2.16989,2.30929,0.60328,0.36368,0.3776,0.14668,0.01411,2.38536,2.52274,0.00947895,0.00947895,0.00947895
12,124.623,0.01234,2.10794,2.24582,0.48313,0.34449,0.3811,0.13701,0.01506,2.54187,2.60894,0.00942684,0.00942684,0.00942684
13,134.782,0.0122,2.0939,2.23386,0.64099,0.43611,0.49693,0.21451,0.01332,2.00113,2.32827,0.00937474,0.00937474,0.00937474
14,144.95,0.01188,2.02626,2.21483,0.66905,0.43867,0.44344,0.20033,0.01377,2.23251,2.47469,0.00932263,0.00932263,0.00932263
15,155.093,0.01198,2.02642,2.2122,0.48805,0.5076,0.50142,0.21331,0.0133,2.02036,2.34588,0.00927053,0.00927053,0.00927053
16,165.259,0.01174,1.96031,2.17356,0.50014,0.47723,0.48463,0.20123,0.01327,2.01712,2.3008,0.00921842,0.00921842,0.00921842
17,175.434,0.01162,1.95504,2.16253,0.47578,0.54518,0.53424,0.21621,0.01367,1.9432,2.33975,0.00916632,0.00916632,0.00916632
18,185.585,0.01144,1.89689,2.12518,0.43986,0.34743,0.34033,0.14415,0.01445,2.75468,2.50887,0.00911421,0.00911421,0.00911421
19,195.811,0.01136,1.85426,2.11565,0.67954,0.51956,0.60492,0.25589,0.01264,1.81554,2.23058,0.00906211,0.00906211,0.00906211
20,206.116,0.01129,1.82885,2.10835,0.59382,0.60916,0.65612,0.29248,0.01235,1.65497,2.15392,0.00901,0.00901,0.00901
21,216.365,0.01116,1.80644,2.09132,0.61298,0.60181,0.60423,0.26653,0.01235,1.77486,2.20396,0.00895789,0.00895789,0.00895789
22,226.525,0.01117,1.80643,2.08872,0.57217,0.59773,0.6117,0.28248,0.0123,1.72397,2.15152,0.00890579,0.00890579,0.00890579
23,236.651,0.01115,1.78868,2.07932,0.52666,0.39411,0.43428,0.20803,0.01337,2.37449,2.37097,0.00885368,0.00885368,0.00885368
24,247.157,0.01098,1.7636,2.04171,0.56078,0.43927,0.48528,0.20374,0.01344,1.9996,2.27759,0.00880158,0.00880158,0.00880158
25,257.338,0.01099,1.76283,2.04562,0.59132,0.40246,0.41905,0.18915,0.01346,2.23996,2.27795,0.00874947,0.00874947,0.00874947
26,267.553,0.01076,1.71211,2.02641,0.57809,0.36415,0.40321,0.18,0.01397,2.71256,2.40861,0.00869737,0.00869737,0.00869737
27,277.758,0.0108,1.70681,2.02551,0.45789,0.50596,0.47457,0.21798,0.0133,2.38599,2.33101,0.00864526,0.00864526,0.00864526
28,287.913,0.01072,1.67605,2.00894,0.66912,0.57797,0.62485,0.30454,0.01175,1.68312,2.1186,0.00859316,0.00859316,0.00859316
29,298.026,0.0106,1.65525,1.9832,0.58594,0.55847,0.61088,0.27301,0.01284,1.82064,2.22281,0.00854105,0.00854105,0.00854105
30,308.16,0.01076,1.66829,2.0121,0.63763,0.63413,0.68606,0.33289,0.01189,1.55581,2.07002,0.00848895,0.00848895,0.00848895
31,318.314,0.01067,1.64003,1.9975,0.7248,0.5309,0.63119,0.28592,0.0122,1.75029,2.15535,0.00843684,0.00843684,0.00843684
32,328.403,0.0105,1.63983,1.97035,0.60255,0.67068,0.65416,0.30363,0.01191,1.60783,2.10443,0.00838474,0.00838474,0.00838474
33,338.529,0.01053,1.64081,1.97096,0.7465,0.45799,0.55927,0.25686,0.01264,1.80374,2.20164,0.00833263,0.00833263,0.00833263
34,348.61,0.01054,1.63222,1.97309,0.61683,0.62099,0.63875,0.30484,0.0125,1.74121,2.15057,0.00828053,0.00828053,0.00828053
35,358.719,0.01051,1.61568,1.96845,0.74687,0.54565,0.65322,0.32357,0.01168,1.6647,2.11179,0.00822842,0.00822842,0.00822842
36,368.81,0.01039,1.60792,1.94825,0.47652,0.59542,0.58096,0.26978,0.01249,1.78745,2.16342,0.00817632,0.00817632,0.00817632
37,378.916,0.0103,1.58615,1.94841,0.59035,0.55327,0.59642,0.26818,0.01251,1.85884,2.18289,0.00812421,0.00812421,0.00812421
38,388.987,0.01041,1.58087,1.9541,0.5994,0.64233,0.6484,0.32022,0.01154,1.61551,2.08314,0.00807211,0.00807211,0.00807211
39,399.095,0.01029,1.56203,1.93041,0.53241,0.57659,0.59962,0.25786,0.01259,1.72296,2.18159,0.00802,0.00802,0.00802
40,409.259,0.01036,1.59624,1.95827,0.63184,0.61207,0.6377,0.30799,0.01244,1.63214,2.16352,0.00796789,0.00796789,0.00796789
41,419.397,0.0103,1.58029,1.93658,0.66666,0.64354,0.69119,0.32214,0.01199,1.56783,2.0991,0.00791579,0.00791579,0.00791579
42,429.518,0.01023,1.56883,1.92368,0.61887,0.63437,0.65081,0.29487,0.0124,1.73239,2.19742,0.00786368,0.00786368,0.00786368
43,439.654,0.01019,1.55214,1.9293,0.6128,0.66377,0.64242,0.30461,0.01268,1.62179,2.18905,0.00781158,0.00781158,0.00781158
44,449.774,0.01023,1.56083,1.93905,0.57295,0.60656,0.59519,0.28746,0.01233,1.75746,2.17313,0.00775947,0.00775947,0.00775947
45,459.908,0.01016,1.53449,1.91302,0.57096,0.59996,0.59626,0.28789,0.01207,1.7168,2.12076,0.00770737,0.00770737,0.00770737
46,470.048,0.01025,1.52894,1.93648,0.53905,0.5866,0.59756,0.28299,0.01168,1.66779,2.05475,0.00765526,0.00765526,0.00765526
47,480.175,0.01006,1.52672,1.9095,0.63361,0.68377,0.72254,0.36039,0.0115,1.39455,2.01512,0.00760316,0.00760316,0.00760316
48,490.302,0.01011,1.52053,1.92175,0.68294,0.6076,0.66531,0.32603,0.0119,1.54859,2.06536,0.00755105,0.00755105,0.00755105
49,500.489,0.01009,1.50008,1.90713,0.66821,0.62307,0.63533,0.30457,0.01316,1.52172,2.188,0.00749895,0.00749895,0.00749895
50,510.684,0.00999,1.48597,1.89108,0.54652,0.50854,0.48592,0.23044,0.01314,2.3384,2.30741,0.00744684,0.00744684,0.00744684
51,520.834,0.01,1.51156,1.90183,0.63904,0.64141,0.66854,0.33881,0.01178,1.49982,2.04932,0.00739474,0.00739474,0.00739474
52,530.97,0.01011,1.52149,1.91059,0.82623,0.597,0.70899,0.36405,0.01114,1.41702,1.99538,0.00734263,0.00734263,0.00734263
53,541.078,0.01013,1.48369,1.91117,0.61018,0.65631,0.66301,0.32118,0.01194,1.53889,2.08969,0.00729053,0.00729053,0.00729053
54,551.236,0.01,1.47769,1.9003,0.638,0.39412,0.40679,0.19285,0.01379,2.9985,2.41859,0.00723842,0.00723842,0.00723842
55,561.501,0.01004,1.49025,1.89476,0.63789,0.64524,0.65739,0.33514,0.01176,1.54637,2.05298,0.00718632,0.00718632,0.00718632
56,571.769,0.00994,1.47794,1.8847,0.66246,0.63467,0.65766,0.31983,0.01182,1.60426,2.0959,0.00713421,0.00713421,0.00713421
57,581.971,0.0099,1.44518,1.87301,0.64538,0.66181,0.67905,0.32991,0.01183,1.47787,2.04826,0.00708211,0.00708211,0.00708211
58,592.078,0.00995,1.4578,1.89926,0.6485,0.67248,0.7027,0.36389,0.01136,1.42943,2.0089,0.00703,0.00703,0.00703
59,602.224,0.00988,1.4498,1.87693,0.65273,0.65294,0.68595,0.3582,0.01105,1.39813,1.97664,0.00697789,0.00697789,0.00697789
60,612.328,0.00974,1.44372,1.87311,0.56763,0.53124,0.58395,0.27277,0.01209,1.63584,2.12395,0.00692579,0.00692579,0.00692579
61,622.536,0.00987,1.43617,1.8806,0.68555,0.69063,0.713,0.36842,0.01142,1.36135,2.0133,0.00687368,0.00687368,0.00687368
62,632.912,0.00979,1.43009,1.85957,0.63943,0.68515,0.70377,0.35777,0.01133,1.39852,2.0058,0.00682158,0.00682158,0.00682158
