epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4164,0.02631,5.66972,4.21013,0,0,0,0,0.02512,4.28972,4.04245,0.0704615,0.00328205,0.00328205
2,27.3135,0.02585,4.96372,3.96952,0,0,0,0,0.02488,4.38783,3.87396,0.0404271,0.00658091,0.00658091
3,36.154,0.02474,4.48575,3.67101,0.51006,0.01471,0.00885,0.00236,0.02473,4.56045,3.67798,0.0103579,0.00984504,0.00984504
4,45.6392,0.02251,3.70121,3.15167,0.34147,0.21523,0.03245,0.01158,0.02244,85.5673,3.38737,0.00984368,0.00984368,0.00984368
5,54.6199,0.02014,3.16695,2.67035,0.51786,0.10784,0.0858,0.02741,0.01954,3.68152,2.6158,0.00979158,0.00979158,0.00979158
6,63.9438,0.01882,2.9013,2.46934,0.30365,0.19064,0.11975,0.04061,0.01991,3.49756,2.81688,0.00973947,0.00973947,0.00973947
7,72.9907,0.01777,2.64198,2.34623,0.48638,0.18332,0.15362,0.0601,0.0184,2.74015,2.43773,0.00968737,0.00968737,0.00968737
8,82.122,0.01726,2.49304,2.26771,0.20974,0.33311,0.22691,0.08376,0.01782,2.52379,2.34607,0.00963526,0.00963526,0.00963526
9,91.3153,0.0168,2.39703,2.19656,0.45428,0.27942,0.26196,0.09919,0.01741,2.72052,2.34482,0.00958316,0.00958316,0.00958316
10,100.34,0.01626,2.30971,2.17808,0.53141,0.28264,0.30325,0.12127,0.01709,2.29569,2.28082,0.00953105,0.00953105,0.00953105
11,109.358,0.01598,2.24426,2.11213,0.54247,0.19655,0.16021,0.05717,0.02037,4.37568,2.82153,0.00947895,0.00947895,0.00947895
12,118.39,0.01577,2.17547,2.06733,0.47993,0.34051,0.2845,0.11997,0.01666,2.40151,2.24609,0.00942684,0.00942684,0.00942684
13,127.428,0.01548,2.09698,2.03156,0.45662,0.26159,0.26268,0.10493,0.01708,2.32998,2.28395,0.00937474,0.00937474,0.00937474
14,136.503,0.0152,2.05221,2.01933,0.67446,0.29596,0.31432,0.13334,0.01635,2.37726,2.22593,0.00932263,0.00932263,0.00932263
15,145.56,0.01501,2.01019,1.97966,0.56473,0.38204,0.3538,0.13739,0.01639,2.02469,2.17919,0.00927053,0.00927053,0.00927053
16,154.673,0.01503,2.00888,1.98769,0.56724,0.403,0.38232,0.14858,0.01609,2.05266,2.15559,0.00921842,0.00921842,0.00921842
17,163.783,0.0148,1.96765,1.95004,0.37334,0.26487,0.25319,0.11466,0.01764,2.77525,2.30656,0.00916632,0.00916632,0.00916632
18,172.822,0.01466,1.94551,1.91055,0.60064,0.35815,0.39386,0.16395,0.01575,1.85303,2.09334,0.00911421,0.00911421,0.00911421
19,181.954,0.01446,1.89092,1.91747,0.53964,0.51804,0.4849,0.20994,0.01608,1.89185,2.06494,0.00906211,0.00906211,0.00906211
20,191.123,0.01452,1.86303,1.88037,0.59652,0.34611,0.41378,0.17711,0.01547,1.8577,2.03255,0.00901,0.00901,0.00901
21,200.197,0.0144,1.87705,1.89529,0.64563,0.42003,0.45099,0.20495,0.01514,1.78451,2.02135,0.00895789,0.00895789,0.00895789
22,209.458,0.01425,1.82551,1.86206,0.66136,0.35633,0.44202,0.19577,0.01553,1.89988,2.06039,0.00890579,0.00890579,0.00890579
23,218.816,0.01421,1.80302,1.85789,0.64843,0.37311,0.40439,0.18593,0.01553,1.85319,2.02685,0.00885368,0.00885368,0.00885368
24,228.146,0.01414,1.79276,1.82498,0.37018,0.34859,0.37403,0.16249,0.01576,2.05195,2.04771,0.00880158,0.00880158,0.00880158
25,237.415,0.0141,1.79079,1.83798,0.65469,0.48021,0.49596,0.21823,0.01567,1.83358,2.04122,0.00874947,0.00874947,0.00874947
26,246.624,0.01416,1.78539,1.81901,0.59757,0.3606,0.42989,0.19619,0.0148,1.8523,1.94184,0.00869737,0.00869737,0.00869737
27,255.748,0.01393,1.75429,1.80926,0.44092,0.34116,0.35213,0.14174,0.01612,2.00132,2.08398,0.00864526,0.00864526,0.00864526
28,265.068,0.01394,1.73022,1.80368,0.74687,0.33761,0.42308,0.19148,0.01526,1.91759,1.99507,0.00859316,0.00859316,0.00859316
29,274.182,0.01369,1.72134,1.7987,0.39796,0.39128,0.40882,0.17564,0.01514,1.96789,2.06602,0.00854105,0.00854105,0.00854105
30,283.271,0.01343,1.69159,1.82561,0.53241,0.57929,0.49063,0.2146,0.01455,1.95687,2.00157,0.00848895,0.00848895,0.00848895
31,292.364,0.01328,1.68392,1.82439,0.6702,0.52366,0.57791,0.25888,0.01423,1.77433,1.99191,0.00843684,0.00843684,0.00843684
