epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.09436,0.02345,4.46122,4.16611,0.00059,0.15861,0.00056,0.00015,0.02351,3.84395,4.05234,0.0705882,0.00326797,0.00326797
2,15.27,0.02354,4.14965,3.95346,0.00055,0.22334,0.00241,0.0005,0.02339,3.77083,3.92806,0.0405538,0.00656691,0.00656691
3,22.5183,0.02276,3.69788,3.68966,0.27062,0.14102,0.03097,0.00611,0.02227,4.70466,3.5673,0.0104847,0.00983111,0.00983111
4,29.6617,0.02072,3.23046,3.34358,0.05727,0.19699,0.04269,0.0111,0.02087,inf,3.99227,0.00984368,0.00984368,0.00984368
5,36.9162,0.01839,2.92273,3.01628,0.24712,0.21309,0.08248,0.02282,0.01915,5.43143,3.04837,0.00979158,0.00979158,0.00979158
6,44.1342,0.01673,2.7319,2.78799,0.05588,0.14672,0.0378,0.0106,0.01914,4.04041,3.00876,0.00973947,0.00973947,0.00973947
7,51.2475,0.01534,2.56351,2.67584,0.43873,0.27453,0.23983,0.08466,0.01698,2.84072,2.83772,0.00968737,0.00968737,0.00968737
8,58.3709,0.01439,2.38953,2.53594,0.41288,0.23341,0.22732,0.09058,0.01645,2.9877,2.80954,0.00963526,0.00963526,0.00963526
9,65.4997,0.01407,2.29909,2.4791,0.51854,0.18337,0.16453,0.05836,0.01671,3.29139,2.83117,0.00958316,0.00958316,0.00958316
10,72.5835,0.01334,2.17578,2.39683,0.41723,0.44546,0.42401,0.16674,0.01424,2.17278,2.50634,0.00953105,0.00953105,0.00953105
11,79.7812,0.01291,2.10198,2.33862,0.40612,0.52138,0.44887,0.17486,0.01398,2.19572,2.43921,0.00947895,0.00947895,0.00947895
12,86.9033,0.01246,2.03352,2.28024,0.50816,0.48626,0.46503,0.18661,0.01393,2.15475,2.41881,0.00942684,0.00942684,0.00942684
13,94.0389,0.01223,2.00118,2.26419,0.58002,0.41952,0.42686,0.17677,0.01437,2.24962,2.48451,0.00937474,0.00937474,0.00937474
14,101.493,0.01194,1.97312,2.23811,0.64937,0.44201,0.51456,0.23053,0.01325,2.23349,2.33633,0.00932263,0.00932263,0.00932263
