epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18852,0.02347,4.45945,4.16122,0.00055,0.15476,0.00047,0.00013,0.02353,3.82796,4.0451,0.0705882,0.00326797,0.00326797
2,13.4658,0.02351,4.16524,3.95558,0.00056,0.22799,0.00109,0.00026,0.02347,3.77191,3.92339,0.0405538,0.00656691,0.00656691
3,19.6881,0.02288,3.88422,3.73513,0.55327,0.11605,0.05243,0.00888,0.02279,3.67625,3.62495,0.0104847,0.00983111,0.00983111
4,25.938,0.02092,3.36445,3.35993,0.53344,0.01626,0.01014,0.00285,0.02163,6.78671,3.49644,0.00984368,0.00984368,0.00984368
5,32.2726,0.01893,3.00259,3.06452,0.54868,0.02402,0.01335,0.00311,0.02077,5.89007,3.46188,0.00979158,0.00979158,0.00979158
6,38.4406,0.01732,2.81032,2.86706,0.24593,0.26387,0.10047,0.02583,0.01783,4.41489,2.91399,0.00973947,0.00973947,0.00973947
7,44.6082,0.01572,2.6409,2.73755,0.21721,0.2687,0.19501,0.06351,0.0169,2.72774,2.80324,0.00968737,0.00968737,0.00968737
8,50.753,0.01475,2.48332,2.61132,0.47247,0.11166,0.11122,0.03186,0.0192,4.00401,3.15675,0.00963526,0.00963526,0.00963526
9,56.9325,0.01426,2.35877,2.51576,0.26402,0.26217,0.13658,0.03928,0.01796,3.74061,2.98543,0.00958316,0.00958316,0.00958316
10,63.0612,0.01343,2.23567,2.42745,0.41379,0.48851,0.42,0.16482,0.014,2.0509,2.43012,0.00953105,0.00953105,0.00953105
11,69.2167,0.01301,2.16568,2.37784,0.49649,0.46595,0.41649,0.16785,0.01377,2.33105,2.42516,0.00947895,0.00947895,0.00947895
12,75.4628,0.01261,2.09431,2.29922,0.40465,0.17208,0.06155,0.01847,0.01893,4.07841,3.125,0.00942684,0.00942684,0.00942684
13,81.6917,0.01241,2.0536,2.29217,0.57925,0.37419,0.40707,0.15879,0.01421,2.21644,2.48845,0.00937474,0.00937474,0.00937474
14,87.8698,0.01205,1.98671,2.25398,0.37754,0.15185,0.15107,0.06256,0.01864,3.87905,3.0575,0.00932263,0.00932263,0.00932263
15,94.0775,0.01204,1.97418,2.2439,0.59221,0.24869,0.21529,0.07289,0.01657,3.60641,2.92363,0.00927053,0.00927053,0.00927053
16,100.308,0.01185,1.92204,2.20871,0.62738,0.27943,0.34313,0.14237,0.01508,2.66463,2.64266,0.00921842,0.00921842,0.00921842
17,106.827,0.01169,1.89522,2.1917,0.61815,0.42855,0.45112,0.19611,0.01344,2.12711,2.34154,0.00916632,0.00916632,0.00916632
18,113.003,0.01153,1.85818,2.16953,0.46816,0.08461,0.07599,0.02519,0.01948,4.77565,3.29741,0.00911421,0.00911421,0.00911421
19,119.151,0.01136,1.83253,2.14256,0.63665,0.39137,0.44556,0.18989,0.01447,2.25239,2.52763,0.00906211,0.00906211,0.00906211
20,125.291,0.01134,1.79461,2.1404,0.50485,0.51453,0.50213,0.22258,0.01369,2.11242,2.41363,0.00901,0.00901,0.00901
21,131.461,0.01121,1.77785,2.12656,0.58196,0.62835,0.62573,0.29011,0.01261,1.70459,2.2099,0.00895789,0.00895789,0.00895789
22,137.627,0.01115,1.7566,2.10311,0.56992,0.43439,0.44766,0.19588,0.01407,2.26813,2.44766,0.00890579,0.00890579,0.00890579
23,143.777,0.01112,1.75964,2.10663,0.50365,0.51265,0.51256,0.21312,0.01364,1.92622,2.36349,0.00885368,0.00885368,0.00885368
24,149.922,0.01105,1.7239,2.07277,0.59616,0.56811,0.61382,0.26381,0.01288,1.69035,2.2215,0.00880158,0.00880158,0.00880158
25,156.138,0.01109,1.7356,2.08259,0.46156,0.37191,0.38477,0.14988,0.01548,2.4779,2.60836,0.00874947,0.00874947,0.00874947
26,162.261,0.0108,1.68267,2.05934,0.54943,0.45583,0.47355,0.21838,0.01421,2.05805,2.42074,0.00869737,0.00869737,0.00869737
27,168.432,0.01083,1.69264,2.04816,0.63698,0.56624,0.62123,0.28132,0.01253,1.66123,2.15717,0.00864526,0.00864526,0.00864526
28,174.593,0.01073,1.64476,2.03899,0.71648,0.54259,0.62541,0.29719,0.01197,1.62728,2.1384,0.00859316,0.00859316,0.00859316
29,180.748,0.01065,1.63605,2.01488,0.64369,0.58487,0.59431,0.27184,0.01244,1.64615,2.131,0.00854105,0.00854105,0.00854105
30,186.889,0.01079,1.64862,2.04635,0.47586,0.56292,0.51586,0.21548,0.01359,1.81557,2.31757,0.00848895,0.00848895,0.00848895
31,193.021,0.01061,1.62024,2.01186,0.51202,0.5517,0.56426,0.24786,0.01304,1.70076,2.25094,0.00843684,0.00843684,0.00843684
32,199.137,0.01051,1.60571,1.99824,0.53804,0.49906,0.51922,0.25097,0.01377,2.16933,2.35632,0.00838474,0.00838474,0.00838474
33,205.257,0.01056,1.62617,2.00289,0.36512,0.44179,0.36472,0.16761,0.01513,2.71902,2.59486,0.00833263,0.00833263,0.00833263
34,211.388,0.01048,1.62087,1.99787,0.36866,0.39302,0.32012,0.14075,0.01625,3.01162,2.70718,0.00828053,0.00828053,0.00828053
35,217.532,0.01053,1.60614,1.99552,0.44783,0.43364,0.41844,0.19359,0.01456,2.51183,2.53364,0.00822842,0.00822842,0.00822842
36,223.659,0.01043,1.57296,1.9741,0.58445,0.58714,0.59067,0.2616,0.01293,1.77979,2.23689,0.00817632,0.00817632,0.00817632
37,229.786,0.01035,1.56208,1.97522,0.47675,0.54498,0.52758,0.23555,0.01345,2.02276,2.3261,0.00812421,0.00812421,0.00812421
38,235.931,0.01043,1.56668,1.98663,0.49724,0.3916,0.41665,0.18254,0.01479,2.52837,2.5835,0.00807211,0.00807211,0.00807211
39,242.097,0.01031,1.54713,1.96189,0.69557,0.54225,0.56884,0.25128,0.01305,1.80334,2.24677,0.00802,0.00802,0.00802
40,248.213,0.01036,1.56346,1.97825,0.60362,0.64686,0.68315,0.32409,0.01197,1.47742,2.10044,0.00796789,0.00796789,0.00796789
41,254.331,0.01025,1.55389,1.9694,0.35644,0.36405,0.30105,0.13896,0.01538,2.85637,2.69165,0.00791579,0.00791579,0.00791579
42,260.446,0.01026,1.5358,1.94797,0.77777,0.17488,0.2186,0.10195,0.01766,4.37393,3.14345,0.00786368,0.00786368,0.00786368
43,266.57,0.01025,1.53438,1.95978,0.6612,0.15586,0.11921,0.0394,0.01942,4.8224,3.30639,0.00781158,0.00781158,0.00781158
44,272.739,0.01027,1.53266,1.96655,0.68327,0.63184,0.68775,0.34061,0.01142,1.45607,2.0375,0.00775947,0.00775947,0.00775947
45,278.974,0.01018,1.5129,1.93653,0.71203,0.62869,0.69468,0.33419,0.01169,1.47036,2.06388,0.00770737,0.00770737,0.00770737
46,285.125,0.01022,1.51094,1.95704,0.40337,0.37168,0.36282,0.1557,0.01493,2.90639,2.60938,0.00765526,0.00765526,0.00765526
47,291.294,0.01006,1.49237,1.93416,0.73609,0.64165,0.70402,0.36299,0.01144,1.41544,2.03581,0.00760316,0.00760316,0.00760316
48,297.507,0.01012,1.49938,1.94121,0.28602,0.30902,0.24923,0.09268,0.01676,3.14373,2.92792,0.00755105,0.00755105,0.00755105
49,303.661,0.01002,1.49978,1.92426,0.40985,0.26063,0.21171,0.07346,0.01841,3.29058,3.02224,0.00749895,0.00749895,0.00749895
50,309.831,0.01002,1.4634,1.91024,0.62043,0.50539,0.56631,0.26003,0.01332,2.0366,2.27719,0.00744684,0.00744684,0.00744684
51,315.984,0.01002,1.47539,1.92663,0.48146,0.49956,0.49409,0.22901,0.01424,2.11436,2.37697,0.00739474,0.00739474,0.00739474
52,322.136,0.01003,1.48558,1.91946,0.44265,0.38988,0.34264,0.16432,0.01603,2.84856,2.69973,0.00734263,0.00734263,0.00734263
53,328.399,0.01013,1.46783,1.93877,0.36989,0.29781,0.27219,0.12238,0.01917,3.81597,3.10885,0.00729053,0.00729053,0.00729053
54,334.553,0.00997,1.45851,1.92139,0.65598,0.70092,0.71222,0.36152,0.0114,1.42054,2.02908,0.00723842,0.00723842,0.00723842
55,340.719,0.01006,1.47846,1.92367,0.68788,0.71748,0.73557,0.38965,0.01109,1.32646,1.97936,0.00718632,0.00718632,0.00718632
56,346.9,0.0099,1.46284,1.89783,0.73368,0.60792,0.67107,0.31607,0.01207,1.55052,2.11405,0.00713421,0.00713421,0.00713421
57,353.078,0.00986,1.42027,1.89011,0.50585,0.43906,0.40599,0.16057,0.01499,2.30261,2.48821,0.00708211,0.00708211,0.00708211
58,359.268,0.00993,1.43614,1.91623,0.56517,0.61022,0.63355,0.30352,0.01213,1.61132,2.12129,0.00703,0.00703,0.00703
59,365.423,0.00983,1.43851,1.89689,0.67141,0.65975,0.6922,0.34154,0.01166,1.4408,2.06681,0.00697789,0.00697789,0.00697789
60,371.569,0.0098,1.41764,1.9059,0.62081,0.60686,0.66391,0.32466,0.01255,1.52445,2.15759,0.00692579,0.00692579,0.00692579
61,377.717,0.00985,1.40515,1.90065,0.3576,0.13129,0.13124,0.06226,0.02175,4.8985,3.56693,0.00687368,0.00687368,0.00687368
62,383.883,0.00976,1.40304,1.87417,0.50874,0.54205,0.5351,0.2562,0.01359,1.98726,2.28428,0.00682158,0.00682158,0.00682158
63,390.099,0.00978,1.42747,1.88612,0.59424,0.65904,0.65757,0.33217,0.01203,1.4942,2.10308,0.00676947,0.00676947,0.00676947
64,396.31,0.00984,1.41235,1.88086,0.70683,0.64883,0.69455,0.34099,0.01141,1.41341,2.0195,0.00671737,0.00671737,0.00671737
65,402.491,0.00978,1.39043,1.88891,0.58621,0.6338,0.62794,0.28268,0.01302,1.6199,2.20253,0.00666526,0.00666526,0.00666526
66,408.681,0.00976,1.40242,1.87746,0.64091,0.67018,0.69841,0.3418,0.01142,1.4321,2.00586,0.00661316,0.00661316,0.00661316
67,414.827,0.00973,1.39712,1.88638,0.33548,0.33934,0.31197,0.13276,0.01645,3.33611,2.77907,0.00656105,0.00656105,0.00656105
68,421.016,0.00963,1.3839,1.87248,0.69356,0.66817,0.73265,0.3886,0.01108,1.32674,1.96933,0.00650895,0.00650895,0.00650895
69,427.212,0.00958,1.35802,1.85934,0.38289,0.43111,0.42167,0.20236,0.01494,2.43089,2.56461,0.00645684,0.00645684,0.00645684
70,433.335,0.00955,1.36241,1.87072,0.77771,0.53049,0.65391,0.30238,0.01178,1.53517,2.08611,0.00640474,0.00640474,0.00640474
71,439.534,0.00962,1.38009,1.86496,0.43491,0.49683,0.46931,0.23645,0.01412,2.12521,2.38065,0.00635263,0.00635263,0.00635263
72,445.664,0.00961,1.35013,1.85772,0.55248,0.48206,0.49499,0.21176,0.01488,2.13287,2.43247,0.00630053,0.00630053,0.00630053
73,451.787,0.00958,1.35312,1.84982,0.61912,0.49642,0.57099,0.29505,0.01238,1.88964,2.1986,0.00624842,0.00624842,0.00624842
