epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.00452,0.02349,4.44985,4.15951,0.0006,0.16237,0.00065,0.00017,0.02353,3.82751,4.03932,0.0705882,0.00326797,0.00326797
2,13.3392,0.02359,4.17046,3.94641,0.00078,0.20025,0.00599,0.00134,0.02346,3.7036,3.90977,0.0405538,0.00656691,0.00656691
3,19.4704,0.02306,3.78945,3.73181,0.40586,0.08466,0.03901,0.00857,0.02235,3.31106,3.61023,0.0104847,0.00983111,0.00983111
4,25.652,0.0214,3.30571,3.40634,0.57339,0.05228,0.02466,0.00576,0.02086,7.14224,3.4537,0.00984368,0.00984368,0.00984368
5,31.7193,0.01889,2.98625,3.07202,0.04641,0.1194,0.06558,0.01341,0.02187,4.54336,3.54538,0.00979158,0.00979158,0.00979158
6,37.8298,0.01704,2.76284,2.82301,0.22485,0.13766,0.03121,0.00851,0.02046,4.725,3.34397,0.00973947,0.00973947,0.00973947
7,43.9672,0.01549,2.577,2.68607,0.56727,0.0804,0.05933,0.02051,0.0192,5.15256,3.35035,0.00968737,0.00968737,0.00968737
8,50.0259,0.01444,2.40268,2.54932,0.82976,0.09518,0.11113,0.03507,0.01948,4.41847,3.27973,0.00963526,0.00963526,0.00963526
9,56.1017,0.01402,2.30723,2.46763,0.33074,0.15983,0.1366,0.03718,0.01777,3.54987,3.15701,0.00958316,0.00958316,0.00958316
10,62.1721,0.01322,2.18693,2.37636,0.64562,0.17752,0.22577,0.08169,0.01683,3.07201,2.7947,0.00953105,0.00953105,0.00953105
11,68.6704,0.0128,2.12456,2.33803,0.47472,0.43552,0.46719,0.19931,0.01404,2.13977,2.44939,0.00947895,0.00947895,0.00947895
12,74.7849,0.01254,2.05958,2.28211,0.3978,0.42324,0.37921,0.14232,0.01426,2.36294,2.46965,0.00942684,0.00942684,0.00942684
13,80.8995,0.0123,2.03789,2.25951,0.57174,0.4136,0.41306,0.17151,0.01399,2.46715,2.52338,0.00937474,0.00937474,0.00937474
14,86.9973,0.01198,1.97012,2.23558,0.76045,0.23368,0.28948,0.12797,0.01648,3.29031,2.80102,0.00932263,0.00932263,0.00932263
15,93.116,0.01194,1.97174,2.2163,0.41093,0.46122,0.43048,0.18632,0.01364,2.15993,2.39468,0.00927053,0.00927053,0.00927053
16,99.2224,0.01184,1.91151,2.18516,0.61216,0.34287,0.40102,0.15896,0.01506,2.52799,2.63603,0.00921842,0.00921842,0.00921842
17,105.404,0.01158,1.8803,2.16502,0.6959,0.41671,0.49849,0.20253,0.01346,2.00131,2.34393,0.00916632,0.00916632,0.00916632
18,111.506,0.01153,1.84343,2.14003,0.61294,0.36613,0.40211,0.17801,0.01405,2.46949,2.49042,0.00911421,0.00911421,0.00911421
19,117.639,0.01131,1.81609,2.11793,0.58451,0.52821,0.55629,0.25403,0.01305,1.90659,2.33595,0.00906211,0.00906211,0.00906211
20,123.781,0.01129,1.78993,2.12222,0.44876,0.44419,0.41632,0.17583,0.01421,2.36555,2.49104,0.00901,0.00901,0.00901
21,129.941,0.01114,1.76159,2.09418,0.59786,0.22395,0.23042,0.08864,0.01741,3.6743,3.00642,0.00895789,0.00895789,0.00895789
22,136.074,0.01111,1.75607,2.08952,0.66439,0.57266,0.63998,0.29418,0.01233,1.74548,2.18279,0.00890579,0.00890579,0.00890579
23,142.262,0.0111,1.74426,2.07691,0.67578,0.56889,0.63939,0.30541,0.01235,1.61668,2.1978,0.00885368,0.00885368,0.00885368
24,148.424,0.01095,1.72181,2.04135,0.61115,0.16974,0.17293,0.06502,0.01839,4.0183,3.13255,0.00880158,0.00880158,0.00880158
25,154.606,0.011,1.72192,2.05489,0.74066,0.48623,0.57482,0.26607,0.01241,1.80208,2.19118,0.00874947,0.00874947,0.00874947
26,160.775,0.0108,1.67318,2.03355,0.63473,0.63938,0.6474,0.32677,0.01184,1.58921,2.09022,0.00869737,0.00869737,0.00869737
27,166.988,0.01079,1.68472,2.03663,0.52416,0.47226,0.47116,0.21225,0.01379,2.1592,2.41218,0.00864526,0.00864526,0.00864526
28,173.154,0.01071,1.6534,2.02263,0.58457,0.29972,0.35637,0.16051,0.01533,2.91454,2.66204,0.00859316,0.00859316,0.00859316
29,179.345,0.0106,1.63152,1.98711,0.5172,0.40218,0.43803,0.18774,0.01405,2.213,2.38613,0.00854105,0.00854105,0.00854105
30,185.494,0.01076,1.65438,2.01727,0.46786,0.38216,0.37076,0.17566,0.01645,2.8236,2.77934,0.00848895,0.00848895,0.00848895
31,191.675,0.01055,1.62212,1.99442,0.35671,0.40432,0.32983,0.12182,0.01531,2.54609,2.59485,0.00843684,0.00843684,0.00843684
32,197.88,0.01045,1.61609,1.96742,0.61315,0.55317,0.58399,0.28245,0.01244,1.83006,2.19346,0.00838474,0.00838474,0.00838474
33,204.084,0.0105,1.61512,1.97288,0.59579,0.55335,0.6178,0.30703,0.01174,1.56798,2.07806,0.00833263,0.00833263,0.00833263
34,210.256,0.01046,1.60523,1.97097,0.4723,0.51086,0.48288,0.22355,0.01466,2.15613,2.45607,0.00828053,0.00828053,0.00828053
35,216.438,0.01043,1.59668,1.97007,0.62312,0.4557,0.48058,0.21845,0.01439,2.18925,2.41612,0.00822842,0.00822842,0.00822842
36,222.608,0.01037,1.57845,1.95212,0.51518,0.43837,0.44621,0.2007,0.01499,2.42496,2.49363,0.00817632,0.00817632,0.00817632
37,228.793,0.01031,1.55092,1.94159,0.44936,0.41559,0.40328,0.19012,0.01479,2.74801,2.53685,0.00812421,0.00812421,0.00812421
38,234.958,0.0104,1.55837,1.9612,0.57106,0.55278,0.5768,0.27003,0.01274,1.86498,2.2196,0.00807211,0.00807211,0.00807211
39,241.117,0.01032,1.54568,1.94468,0.57793,0.5747,0.58474,0.2911,0.01247,1.77062,2.20276,0.00802,0.00802,0.00802
40,247.306,0.01028,1.57277,1.94777,0.56196,0.47023,0.49742,0.2433,0.01367,2.147,2.31629,0.00796789,0.00796789,0.00796789
41,253.566,0.01019,1.55374,1.93361,0.61826,0.62278,0.66206,0.32523,0.01163,1.57321,2.06038,0.00791579,0.00791579,0.00791579
42,259.689,0.01019,1.54394,1.92471,0.51168,0.12404,0.08659,0.03179,0.01996,5.00774,3.31865,0.00786368,0.00786368,0.00786368
43,265.812,0.01018,1.53228,1.92535,0.46053,0.2776,0.2516,0.12528,0.01924,3.93657,3.18294,0.00781158,0.00781158,0.00781158
44,271.961,0.01023,1.53535,1.94217,0.72054,0.64823,0.70373,0.35594,0.01134,1.47905,2.00633,0.00775947,0.00775947,0.00775947
45,278.092,0.01014,1.52109,1.91753,0.49644,0.5023,0.52032,0.25437,0.0131,2.09039,2.2607,0.00770737,0.00770737,0.00770737
46,284.271,0.01016,1.51535,1.93072,0.55403,0.62198,0.61635,0.30239,0.01205,1.63249,2.13313,0.00765526,0.00765526,0.00765526
47,290.491,0.0099,1.49259,1.90344,0.60671,0.65597,0.67908,0.35156,0.0112,1.43716,2.00543,0.00760316,0.00760316,0.00760316
48,296.69,0.01007,1.50472,1.91351,0.65488,0.57623,0.63702,0.29569,0.01249,1.58567,2.15298,0.00755105,0.00755105,0.00755105
49,302.897,0.01001,1.48871,1.90087,0.66091,0.6824,0.67574,0.33313,0.01206,1.44663,2.07465,0.00749895,0.00749895,0.00749895
50,309.069,0.00997,1.46641,1.88107,0.58928,0.58939,0.62117,0.29903,0.01262,1.66169,2.16363,0.00744684,0.00744684,0.00744684
51,315.281,0.00993,1.48419,1.89633,0.70258,0.58395,0.65776,0.35336,0.01102,1.43733,1.98978,0.00739474,0.00739474,0.00739474
52,321.503,0.01,1.48704,1.89744,0.685,0.60144,0.68538,0.34722,0.01127,1.42742,1.99579,0.00734263,0.00734263,0.00734263
53,327.723,0.01,1.47891,1.89575,0.49277,0.35953,0.3409,0.12555,0.01562,2.79549,2.64934,0.00729053,0.00729053,0.00729053
54,333.863,0.00993,1.46742,1.89727,0.55026,0.51311,0.55784,0.24342,0.01296,1.9419,2.2194,0.00723842,0.00723842,0.00723842
55,339.996,0.00994,1.4726,1.88864,0.4983,0.45484,0.45204,0.198,0.01474,2.38674,2.44535,0.00718632,0.00718632,0.00718632
56,346.129,0.0098,1.45986,1.86997,0.6866,0.73285,0.74252,0.39092,0.01103,1.35915,1.97161,0.00713421,0.00713421,0.00713421
57,352.315,0.00986,1.43646,1.86945,0.61553,0.57902,0.62879,0.30558,0.01183,1.6086,2.07757,0.00708211,0.00708211,0.00708211
58,358.421,0.00987,1.44396,1.89697,0.69637,0.60861,0.71403,0.37513,0.01099,1.38247,1.97838,0.00703,0.00703,0.00703
59,364.566,0.00978,1.44167,1.8711,0.68423,0.66198,0.68661,0.34683,0.01155,1.47712,2.01103,0.00697789,0.00697789,0.00697789
60,370.687,0.00969,1.41584,1.86882,0.6846,0.62848,0.67659,0.34176,0.01168,1.44795,2.0417,0.00692579,0.00692579,0.00692579
61,376.829,0.00981,1.42181,1.87214,0.67034,0.66149,0.70126,0.35817,0.01116,1.37948,1.98925,0.00687368,0.00687368,0.00687368
62,382.981,0.00975,1.40191,1.8477,0.58548,0.51976,0.53587,0.24667,0.01412,2.15055,2.31657,0.00682158,0.00682158,0.00682158
63,389.123,0.00979,1.4278,1.86969,0.60255,0.70522,0.71289,0.36789,0.01145,1.36253,1.98785,0.00676947,0.00676947,0.00676947
64,395.28,0.00975,1.41894,1.85488,0.63333,0.69406,0.70288,0.36958,0.01123,1.3808,1.97457,0.00671737,0.00671737,0.00671737
65,401.415,0.00975,1.39056,1.86382,0.63448,0.63656,0.6741,0.34159,0.0119,1.46238,2.05803,0.00666526,0.00666526,0.00666526
66,407.558,0.00974,1.40708,1.85127,0.61786,0.65852,0.67017,0.34734,0.01133,1.51806,2.01386,0.00661316,0.00661316,0.00661316
67,413.701,0.00969,1.39832,1.8623,0.56522,0.51352,0.54969,0.26516,0.01291,1.98022,2.23348,0.00656105,0.00656105,0.00656105
68,419.833,0.00959,1.38422,1.8469,0.62236,0.66826,0.69197,0.36742,0.01096,1.39537,1.97453,0.00650895,0.00650895,0.00650895
69,425.97,0.00954,1.36899,1.83724,0.60052,0.66862,0.70355,0.33458,0.01198,1.45823,2.06947,0.00645684,0.00645684,0.00645684
70,432.128,0.00956,1.36831,1.85197,0.60005,0.47032,0.54029,0.26507,0.01323,2.16796,2.30911,0.00640474,0.00640474,0.00640474
71,438.354,0.00959,1.39296,1.84226,0.67925,0.66024,0.71936,0.36862,0.01139,1.32805,1.99277,0.00635263,0.00635263,0.00635263
72,444.542,0.00956,1.35651,1.83045,0.59987,0.61786,0.62454,0.29737,0.01277,1.62951,2.16649,0.00630053,0.00630053,0.00630053
73,450.712,0.00962,1.36176,1.8371,0.56949,0.45729,0.47729,0.2189,0.01391,2.10925,2.34317,0.00624842,0.00624842,0.00624842
74,456.908,0.00954,1.36248,1.83563,0.63373,0.69818,0.71913,0.37815,0.01111,1.33064,1.96139,0.00619632,0.00619632,0.00619632
75,463.104,0.00953,1.35514,1.82569,0.56533,0.6291,0.66912,0.34048,0.01191,1.50093,2.05152,0.00614421,0.00614421,0.00614421
76,469.263,0.00948,1.343,1.81997,0.62602,0.66663,0.69869,0.3641,0.01139,1.44754,1.99714,0.00609211,0.00609211,0.00609211
77,475.439,0.00953,1.33959,1.84046,0.6956,0.68293,0.72914,0.37673,0.01156,1.36469,2.02201,0.00604,0.00604,0.00604
78,481.62,0.00958,1.34385,1.82611,0.74327,0.65888,0.71615,0.37727,0.01094,1.33747,1.96341,0.00598789,0.00598789,0.00598789
