epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.57995,0.02348,4.46993,4.15451,0.00053,0.15079,0.00049,0.00014,0.02352,3.82479,4.04073,0.0705882,0.00326797,0.00326797
2,14.4077,0.02344,4.15458,3.93354,0.0005,0.19769,0.0087,0.00175,0.02342,3.7577,3.90996,0.0405538,0.00656691,0.00656691
3,21.2166,0.02261,3.80945,3.67854,0.35875,0.07764,0.02412,0.00649,0.02265,4.24775,3.60595,0.0104847,0.00983111,0.00983111
4,27.8932,0.02089,3.30215,3.33043,0.43691,0.05044,0.04981,0.01299,0.02099,5.47623,3.26703,0.00984368,0.00984368,0.00984368
5,34.6125,0.01929,2.94845,3.07663,0.70045,0.01887,0.02425,0.0042,0.02139,4.76726,3.44043,0.00979158,0.00979158,0.00979158
6,41.3048,0.01783,2.75653,2.87908,0.05215,0.20472,0.03932,0.00918,0.02012,10.3529,3.26258,0.00973947,0.00973947,0.00973947
7,48.0019,0.01595,2.57976,2.71657,0.21156,0.19684,0.13549,0.04442,0.01821,4.6082,3.07279,0.00968737,0.00968737,0.00968737
8,54.6725,0.01482,2.42091,2.55949,0.42384,0.26857,0.18911,0.06696,0.01706,2.99635,2.82797,0.00963526,0.00963526,0.00963526
9,61.3574,0.01422,2.30138,2.46986,0.37907,0.11575,0.08935,0.02742,0.01959,4.01591,3.31235,0.00958316,0.00958316,0.00958316
10,68.0038,0.01333,2.17472,2.37548,0.36737,0.49117,0.40277,0.16476,0.01445,2.27422,2.45384,0.00953105,0.00953105,0.00953105
11,74.7255,0.01294,2.11872,2.3328,0.52779,0.4466,0.41788,0.16865,0.01425,2.12333,2.42932,0.00947895,0.00947895,0.00947895
12,81.4078,0.01253,2.03731,2.26687,0.55292,0.03218,0.0271,0.00929,0.01978,4.7124,3.39867,0.00942684,0.00942684,0.00942684
13,88.1312,0.01231,2.02129,2.24518,0.57632,0.28098,0.3342,0.14851,0.01538,2.56364,2.66597,0.00937474,0.00937474,0.00937474
14,94.8604,0.01201,1.9713,2.21955,0.5162,0.54857,0.54134,0.23516,0.01338,1.91727,2.32134,0.00932263,0.00932263,0.00932263
15,101.636,0.01195,1.95202,2.19343,0.649,0.46992,0.51971,0.22696,0.01347,1.90541,2.3484,0.00927053,0.00927053,0.00927053
16,108.331,0.01186,1.88882,2.15888,0.66508,0.51228,0.5705,0.24515,0.01316,1.8261,2.2652,0.00921842,0.00921842,0.00921842
17,115.078,0.01168,1.86879,2.1461,0.51878,0.28606,0.3354,0.14392,0.01572,2.58805,2.60424,0.00916632,0.00916632,0.00916632
18,121.814,0.01149,1.83135,2.10964,0.63989,0.56228,0.581,0.25673,0.01268,1.79829,2.22176,0.00911421,0.00911421,0.00911421
19,128.905,0.01133,1.81156,2.09541,0.64823,0.32574,0.38531,0.16543,0.01461,2.41451,2.60606,0.00906211,0.00906211,0.00906211
20,135.634,0.0113,1.7691,2.09103,0.55581,0.5967,0.62062,0.29222,0.01242,1.66923,2.16211,0.00901,0.00901,0.00901
21,142.402,0.01116,1.75196,2.06778,0.53962,0.56783,0.58262,0.2771,0.01256,1.74467,2.19456,0.00895789,0.00895789,0.00895789
22,149.14,0.01105,1.74322,2.05753,0.47712,0.40293,0.42272,0.18589,0.01503,2.54999,2.55499,0.00890579,0.00890579,0.00890579
23,155.857,0.01107,1.72575,2.0524,0.53557,0.63026,0.62623,0.29617,0.01219,1.64081,2.13494,0.00885368,0.00885368,0.00885368
24,162.525,0.01104,1.71187,2.0282,0.59852,0.61874,0.62481,0.29276,0.01225,1.65809,2.1252,0.00880158,0.00880158,0.00880158
25,169.189,0.01099,1.72125,2.03267,0.64053,0.61451,0.65908,0.32647,0.01213,1.59771,2.10015,0.00874947,0.00874947,0.00874947
26,175.87,0.01079,1.66188,2.01479,0.62666,0.50933,0.52554,0.24808,0.01323,1.87987,2.27808,0.00869737,0.00869737,0.00869737
27,182.566,0.01077,1.68076,2.01368,0.50398,0.53438,0.54261,0.25293,0.01278,1.89974,2.22978,0.00864526,0.00864526,0.00864526
28,189.291,0.01067,1.62827,1.9977,0.40585,0.24397,0.1917,0.07728,0.01708,3.88686,3.03478,0.00859316,0.00859316,0.00859316
29,196.039,0.01062,1.62175,1.98162,0.64274,0.57861,0.64106,0.31298,0.01185,1.61184,2.09495,0.00854105,0.00854105,0.00854105
30,202.745,0.01074,1.63426,2.00376,0.5706,0.54164,0.5663,0.25252,0.01343,1.72007,2.23337,0.00848895,0.00848895,0.00848895
31,209.481,0.01057,1.61108,1.97716,0.67664,0.49686,0.55698,0.25837,0.01286,1.87352,2.26967,0.00843684,0.00843684,0.00843684
32,216.224,0.01042,1.60347,1.95399,0.65479,0.6438,0.68808,0.33101,0.01161,1.51718,2.06493,0.00838474,0.00838474,0.00838474
33,222.987,0.0105,1.61538,1.95662,0.5129,0.45569,0.50028,0.23502,0.01293,1.90241,2.21388,0.00833263,0.00833263,0.00833263
34,229.698,0.01055,1.59893,1.97296,0.48156,0.49004,0.4588,0.18452,0.01448,2.20285,2.43624,0.00828053,0.00828053,0.00828053
35,236.492,0.0105,1.58457,1.96166,0.52337,0.42461,0.48186,0.22945,0.0134,2.13712,2.31743,0.00822842,0.00822842,0.00822842
36,243.238,0.01043,1.57853,1.94812,0.39915,0.44023,0.42479,0.19574,0.01504,2.34448,2.47326,0.00817632,0.00817632,0.00817632
37,250.017,0.01024,1.54506,1.93036,0.69026,0.66536,0.68305,0.342,0.01146,1.47171,2.00235,0.00812421,0.00812421,0.00812421
38,256.79,0.0104,1.53404,1.94945,0.56453,0.59966,0.61873,0.29723,0.01226,1.64495,2.1545,0.00807211,0.00807211,0.00807211
39,263.55,0.01034,1.51782,1.92937,0.55232,0.67298,0.66283,0.33716,0.01162,1.49198,2.04119,0.00802,0.00802,0.00802
40,270.323,0.01035,1.54575,1.9453,0.6021,0.6938,0.68627,0.35222,0.0116,1.47205,2.0412,0.00796789,0.00796789,0.00796789
41,277.072,0.01021,1.54408,1.92457,0.61487,0.65518,0.68485,0.34691,0.01146,1.50185,2.02068,0.00791579,0.00791579,0.00791579
42,283.772,0.01013,1.52031,1.90164,0.82369,0.22052,0.29261,0.14517,0.01676,3.52559,2.77471,0.00786368,0.00786368,0.00786368
43,290.464,0.01015,1.51607,1.91353,0.36351,0.36281,0.36835,0.17879,0.01549,2.78502,2.63776,0.00781158,0.00781158,0.00781158
44,297.162,0.01023,1.51956,1.9298,0.68471,0.67648,0.70871,0.37172,0.0113,1.41932,1.96624,0.00775947,0.00775947,0.00775947
45,303.879,0.0101,1.5016,1.90516,0.55378,0.61874,0.61529,0.30313,0.01235,1.60927,2.13962,0.00770737,0.00770737,0.00770737
46,310.584,0.01013,1.50531,1.92663,0.52249,0.53795,0.54043,0.26448,0.01299,1.8686,2.22558,0.00765526,0.00765526,0.00765526
47,317.322,0.00999,1.48451,1.89643,0.66503,0.66886,0.68625,0.36097,0.01124,1.42349,1.98458,0.00760316,0.00760316,0.00760316
48,324.028,0.01004,1.4872,1.90321,0.58646,0.66151,0.65702,0.3282,0.01213,1.49883,2.10969,0.00755105,0.00755105,0.00755105
49,330.733,0.01003,1.47234,1.88947,0.64601,0.65855,0.68459,0.33239,0.01216,1.46406,2.09212,0.00749895,0.00749895,0.00749895
50,337.414,0.00999,1.44317,1.87537,0.69131,0.69585,0.72161,0.35868,0.01168,1.4228,2.04903,0.00744684,0.00744684,0.00744684
51,344.128,0.00991,1.4609,1.88382,0.65286,0.65936,0.7022,0.36838,0.0113,1.40699,2.01629,0.00739474,0.00739474,0.00739474
52,350.796,0.00999,1.47202,1.87839,0.54055,0.63206,0.61924,0.30144,0.01274,1.57267,2.12969,0.00734263,0.00734263,0.00734263
53,357.475,0.01003,1.45374,1.88846,0.69927,0.15863,0.12629,0.04264,0.01972,4.52764,3.25456,0.00729053,0.00729053,0.00729053
54,364.28,0.00993,1.44376,1.88453,0.63321,0.65042,0.67834,0.35213,0.01131,1.49112,2.01595,0.00723842,0.00723842,0.00723842
55,370.967,0.01001,1.45584,1.88332,0.59353,0.62375,0.64465,0.31891,0.01207,1.56314,2.09679,0.00718632,0.00718632,0.00718632
56,377.646,0.00983,1.44727,1.86064,0.65943,0.62133,0.65727,0.33287,0.01208,1.55876,2.09363,0.00713421,0.00713421,0.00713421
57,384.341,0.00977,1.40865,1.8577,0.6307,0.667,0.67373,0.33446,0.01209,1.43175,2.06282,0.00708211,0.00708211,0.00708211
58,391.019,0.00982,1.42195,1.87791,0.77299,0.62165,0.71681,0.36921,0.01118,1.36599,1.99111,0.00703,0.00703,0.00703
59,397.69,0.00978,1.42218,1.86109,0.64607,0.65593,0.69613,0.37354,0.01111,1.45816,2.04676,0.00697789,0.00697789,0.00697789
60,404.367,0.00966,1.4024,1.85981,0.57955,0.5687,0.58716,0.29027,0.01254,1.85355,2.21525,0.00692579,0.00692579,0.00692579
61,411.064,0.00982,1.40521,1.86246,0.66765,0.69531,0.71701,0.3941,0.01057,1.34074,1.9068,0.00687368,0.00687368,0.00687368
62,417.746,0.00963,1.38706,1.83957,0.60887,0.70207,0.69988,0.36268,0.01163,1.39998,2.04791,0.00682158,0.00682158,0.00682158
63,424.453,0.0097,1.40829,1.85791,0.61717,0.69763,0.72628,0.38433,0.01112,1.34222,1.99315,0.00676947,0.00676947,0.00676947
64,431.191,0.0097,1.39496,1.84457,0.62658,0.66828,0.69674,0.37546,0.01116,1.41729,2.02055,0.00671737,0.00671737,0.00671737
65,437.865,0.00967,1.37151,1.85648,0.73565,0.69717,0.75077,0.39393,0.01105,1.29975,1.98844,0.00666526,0.00666526,0.00666526
66,444.578,0.00966,1.39677,1.84082,0.6136,0.64736,0.68943,0.35902,0.01141,1.43506,2.03325,0.00661316,0.00661316,0.00661316
67,451.326,0.00959,1.38311,1.84881,0.56523,0.30633,0.33322,0.16299,0.01632,2.76076,2.66493,0.00656105,0.00656105,0.00656105
68,458.046,0.00955,1.37635,1.84376,0.67292,0.61873,0.68381,0.3722,0.01104,1.44645,2.00898,0.00650895,0.00650895,0.00650895
69,464.764,0.00948,1.34545,1.82782,0.5776,0.19089,0.2008,0.07296,0.01696,3.94169,2.87084,0.00645684,0.00645684,0.00645684
70,471.493,0.0094,1.35195,1.82888,0.48701,0.30696,0.33837,0.14252,0.01534,2.80234,2.54179,0.00640474,0.00640474,0.00640474
71,478.189,0.00955,1.36654,1.83363,0.57787,0.55553,0.58674,0.30128,0.01257,1.82293,2.189,0.00635263,0.00635263,0.00635263
72,484.903,0.00947,1.34247,1.82194,0.61248,0.70925,0.69479,0.37347,0.01102,1.3273,1.9711,0.00630053,0.00630053,0.00630053
73,491.647,0.00949,1.3415,1.82621,0.67002,0.69184,0.71181,0.38049,0.01092,1.35691,1.98202,0.00624842,0.00624842,0.00624842
74,498.367,0.00947,1.33537,1.82307,0.6442,0.68406,0.70878,0.39594,0.01073,1.31139,1.96408,0.00619632,0.00619632,0.00619632
75,505.099,0.00946,1.33425,1.81517,0.69644,0.5461,0.62613,0.30693,0.01265,1.6595,2.18739,0.00614421,0.00614421,0.00614421
76,511.832,0.00942,1.32544,1.80973,0.61509,0.72647,0.72046,0.4017,0.01069,1.28968,1.93484,0.00609211,0.00609211,0.00609211
77,518.538,0.00946,1.33414,1.82856,0.68966,0.65227,0.72016,0.38588,0.01103,1.39327,1.98051,0.00604,0.00604,0.00604
78,525.22,0.00944,1.32033,1.81776,0.66568,0.18292,0.21923,0.10387,0.01682,4.03558,2.7907,0.00598789,0.00598789,0.00598789
79,531.943,0.00932,1.3017,1.79864,0.58886,0.5494,0.57958,0.29173,0.01289,1.87388,2.25672,0.00593579,0.00593579,0.00593579
80,538.639,0.00943,1.31834,1.81878,0.63277,0.71384,0.72196,0.37718,0.01123,1.40124,2.01402,0.00588368,0.00588368,0.00588368
81,545.356,0.00931,1.31453,1.79865,0.71421,0.68575,0.74964,0.41013,0.01078,1.27329,1.96684,0.00583158,0.00583158,0.00583158
82,552.049,0.00933,1.32,1.81654,0.64908,0.68892,0.7327,0.38385,0.01131,1.32189,1.99979,0.00577947,0.00577947,0.00577947
83,558.804,0.00937,1.30699,1.81524,0.67535,0.74524,0.76036,0.4112,0.01073,1.26316,1.98666,0.00572737,0.00572737,0.00572737
84,565.519,0.00933,1.29178,1.81023,0.72741,0.70524,0.7596,0.41881,0.0107,1.25761,1.97674,0.00567526,0.00567526,0.00567526
85,572.262,0.00928,1.31788,1.80186,0.52193,0.56746,0.57835,0.29435,0.01229,1.96347,2.21502,0.00562316,0.00562316,0.00562316
86,579,0.00932,1.29729,1.79577,0.68582,0.69447,0.74126,0.41526,0.0103,1.23818,1.91412,0.00557105,0.00557105,0.00557105
87,585.871,0.00932,1.294,1.79091,0.54897,0.52143,0.57305,0.27618,0.01226,1.69016,2.11965,0.00551895,0.00551895,0.00551895
88,592.614,0.00911,1.27322,1.77705,0.75708,0.63731,0.7387,0.40833,0.01083,1.31794,1.96977,0.00546684,0.00546684,0.00546684
89,599.414,0.00926,1.30154,1.80796,0.73676,0.67538,0.75063,0.40953,0.01065,1.23271,1.94589,0.00541474,0.00541474,0.00541474
90,606.137,0.00916,1.27049,1.78664,0.66742,0.72314,0.74179,0.4129,0.01048,1.27717,1.93263,0.00536263,0.00536263,0.00536263
91,612.9,0.00925,1.27963,1.79447,0.59671,0.67149,0.68026,0.35812,0.01143,1.38343,2.05396,0.00531053,0.00531053,0.00531053
92,619.628,0.00919,1.28355,1.7796,0.67132,0.68661,0.7378,0.40661,0.01083,1.25853,1.96224,0.00525842,0.00525842,0.00525842
93,626.376,0.00918,1.26345,1.7957,0.71915,0.72279,0.78073,0.43474,0.01043,1.18643,1.93058,0.00520632,0.00520632,0.00520632
94,633.098,0.00914,1.27026,1.78135,0.67055,0.77756,0.76677,0.42751,0.01046,1.17692,1.91588,0.00515421,0.00515421,0.00515421
95,639.808,0.00906,1.25461,1.77535,0.70553,0.69536,0.74836,0.42563,0.01054,1.22793,1.95776,0.00510211,0.00510211,0.00510211
96,646.502,0.00917,1.25237,1.7763,0.67417,0.73569,0.77039,0.43187,0.01038,1.2014,1.91128,0.00505,0.00505,0.00505
97,653.188,0.00905,1.28576,1.77836,0.65274,0.65998,0.69052,0.3608,0.01158,1.39749,2.07673,0.00499789,0.00499789,0.00499789
98,659.892,0.00915,1.23818,1.78653,0.64914,0.67587,0.68684,0.35968,0.01152,1.37381,2.06568,0.00494579,0.00494579,0.00494579
99,666.592,0.00905,1.22934,1.77895,0.7325,0.69918,0.75546,0.41576,0.0105,1.22095,1.92453,0.00489368,0.00489368,0.00489368
100,673.3,0.00903,1.26732,1.7736,0.68156,0.70602,0.74957,0.40441,0.01049,1.25142,1.93555,0.00484158,0.00484158,0.00484158
101,679.997,0.00902,1.2218,1.77121,0.69978,0.75742,0.76543,0.43652,0.01004,1.20933,1.88357,0.00478947,0.00478947,0.00478947
102,686.719,0.00901,1.2417,1.77186,0.69237,0.75777,0.77506,0.43898,0.01026,1.18559,1.90468,0.00473737,0.00473737,0.00473737
103,693.494,0.00901,1.25734,1.77991,0.73899,0.70209,0.75325,0.41822,0.01038,1.21801,1.91337,0.00468526,0.00468526,0.00468526
104,700.23,0.00901,1.23181,1.77329,0.74474,0.71493,0.76986,0.43111,0.01055,1.18304,1.94449,0.00463316,0.00463316,0.00463316
105,706.952,0.0089,1.19978,1.74726,0.74309,0.67339,0.76281,0.42013,0.01052,1.20643,1.91687,0.00458105,0.00458105,0.00458105
