epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30836,0.02342,4.41182,4.14413,0.00057,0.16381,0.00062,0.00017,0.02351,3.84648,4.04191,0.0705882,0.00326797,0.00326797
2,13.9237,0.02338,4.09454,3.92781,0.00044,0.1625,0.00653,0.00117,0.02341,3.79906,3.91756,0.0405538,0.00656691,0.00656691
3,20.3908,0.02246,3.67717,3.64198,0.00802,0.3125,0.02385,0.0043,0.0225,3.78768,3.5737,0.0104847,0.00983111,0.00983111
4,26.9076,0.02031,3.22631,3.27551,0.05673,0.14925,0.04261,0.00988,0.02063,5.49939,3.37606,0.00984368,0.00984368,0.00984368
5,33.4385,0.01811,2.90987,2.97155,0.28745,0.30721,0.11729,0.02962,0.01852,5.68182,2.98254,0.00979158,0.00979158,0.00979158
6,39.8591,0.01639,2.70456,2.74619,0.30651,0.20999,0.12502,0.0345,0.01711,3.56271,2.90032,0.00973947,0.00973947,0.00973947
7,46.3253,0.01489,2.54465,2.62599,0.22231,0.43147,0.25511,0.08198,0.01561,3.70095,2.66084,0.00968737,0.00968737,0.00968737
8,52.8225,0.01415,2.37592,2.50019,0.45033,0.32336,0.31528,0.12396,0.01558,2.61748,2.59941,0.00963526,0.00963526,0.00963526
9,59.3536,0.01377,2.2638,2.42475,0.44074,0.4846,0.35985,0.12609,0.01469,2.51683,2.50076,0.00958316,0.00958316,0.00958316
10,65.8365,0.01305,2.14927,2.34922,0.55637,0.45397,0.44149,0.18592,0.01385,2.14359,2.37892,0.00953105,0.00953105,0.00953105
11,72.7231,0.01274,2.09626,2.31589,0.57565,0.37232,0.37911,0.1412,0.01435,2.38004,2.47021,0.00947895,0.00947895,0.00947895
12,79.1859,0.01235,2.03351,2.24964,0.47089,0.45168,0.42739,0.17248,0.01422,2.40998,2.47692,0.00942684,0.00942684,0.00942684
13,85.6787,0.01224,2.01852,2.23925,0.59674,0.44884,0.45989,0.19896,0.01365,2.21992,2.40475,0.00937474,0.00937474,0.00937474
14,92.2035,0.01195,1.95417,2.21632,0.46491,0.43679,0.44646,0.18226,0.0141,2.27081,2.45356,0.00932263,0.00932263,0.00932263
15,98.761,0.01193,1.97024,2.20607,0.32425,0.38014,0.33204,0.14727,0.01522,2.83908,2.53669,0.00927053,0.00927053,0.00927053
16,105.309,0.01171,1.89463,2.16016,0.50574,0.56015,0.56682,0.26372,0.01254,1.82331,2.21404,0.00921842,0.00921842,0.00921842
17,111.827,0.01153,1.88797,2.15113,0.70019,0.46934,0.54674,0.25959,0.01297,1.86063,2.2608,0.00916632,0.00916632,0.00916632
18,118.344,0.01142,1.83356,2.1254,0.52776,0.36673,0.40528,0.17249,0.01442,2.19487,2.46761,0.00911421,0.00911421,0.00911421
19,124.851,0.01125,1.82052,2.10803,0.45928,0.42565,0.48428,0.21446,0.01345,2.11122,2.38289,0.00906211,0.00906211,0.00906211
20,131.342,0.01131,1.7957,2.11265,0.58582,0.53834,0.5669,0.26623,0.01258,1.90154,2.24887,0.00901,0.00901,0.00901
21,137.909,0.0111,1.78146,2.08744,0.59944,0.57482,0.60814,0.28504,0.01236,1.71962,2.18364,0.00895789,0.00895789,0.00895789
22,144.447,0.01116,1.77248,2.08741,0.58399,0.59492,0.61354,0.28192,0.01259,1.87677,2.22153,0.00890579,0.00890579,0.00890579
23,151.031,0.01108,1.75797,2.07316,0.64337,0.47996,0.53553,0.24645,0.01278,1.93284,2.22241,0.00885368,0.00885368,0.00885368
24,157.569,0.01097,1.73137,2.04121,0.67981,0.60821,0.62797,0.31564,0.01191,1.65365,2.10398,0.00880158,0.00880158,0.00880158
25,164.093,0.01096,1.71924,2.04383,0.5513,0.60638,0.56528,0.26698,0.01278,1.80438,2.20508,0.00874947,0.00874947,0.00874947
26,170.58,0.01075,1.67173,2.02025,0.41282,0.49732,0.4667,0.19998,0.01296,1.98222,2.26113,0.00869737,0.00869737,0.00869737
27,177.079,0.01082,1.69739,2.02716,0.44568,0.58374,0.52848,0.24899,0.01256,1.79003,2.18723,0.00864526,0.00864526,0.00864526
28,183.576,0.01072,1.65654,2.01689,0.64498,0.43662,0.46871,0.21948,0.01321,2.06314,2.32818,0.00859316,0.00859316,0.00859316
29,190.082,0.01062,1.64168,1.98641,0.57924,0.42571,0.43324,0.193,0.01431,2.53178,2.47192,0.00854105,0.00854105,0.00854105
30,196.576,0.01072,1.64826,2.01898,0.57583,0.66098,0.65165,0.31947,0.0117,1.60284,2.08385,0.00848895,0.00848895,0.00848895
31,203.095,0.0106,1.62306,1.99483,0.5972,0.43074,0.51309,0.25244,0.01287,2.20519,2.28725,0.00843684,0.00843684,0.00843684
32,209.586,0.01048,1.63016,1.97397,0.52427,0.63594,0.61909,0.30203,0.01198,1.64809,2.10319,0.00838474,0.00838474,0.00838474
