epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9943,0.02632,5.54816,4.1816,0,0,0,0,0.02498,4.25231,3.97816,0.0704615,0.00328205,0.00328205
2,18.9452,0.02567,4.82426,3.8923,0,0,0,0,0.02478,4.39762,3.81486,0.0404271,0.00658091,0.00658091
3,27.0998,0.02456,4.57646,3.6663,0.43045,0.03401,0.01643,0.00268,0.02375,5.62858,3.62996,0.0103579,0.00984504,0.00984504
4,35.4828,0.02238,3.83183,3.1449,0.65038,0.05024,0.03831,0.00941,0.02315,7.4917,3.36313,0.00984368,0.00984368,0.00984368
5,43.5587,0.02042,3.21772,2.69266,0.81398,0.07756,0.08006,0.03042,0.02205,4.92556,3.10912,0.00979158,0.00979158,0.00979158
6,51.7424,0.01928,2.88293,2.50651,0.54975,0.11258,0.08534,0.03134,0.02426,4.5407,3.28501,0.00973947,0.00973947,0.00973947
7,59.8918,0.01795,2.61895,2.34334,0.71666,0.18912,0.19545,0.07876,0.01903,3.04921,2.48069,0.00968737,0.00968737,0.00968737
8,68.0378,0.0173,2.40261,2.22608,0.64856,0.18162,0.15475,0.05706,0.02057,3.77818,2.85444,0.00963526,0.00963526,0.00963526
9,76.1007,0.01669,2.31487,2.17214,0.69048,0.08507,0.05365,0.01715,0.02598,6.07005,3.44437,0.00958316,0.00958316,0.00958316
10,84.2153,0.0162,2.23296,2.16907,0.62428,0.22457,0.2234,0.08792,0.01898,2.76346,2.4364,0.00953105,0.00953105,0.00953105
11,92.3205,0.01587,2.13731,2.08931,0.32081,0.37924,0.27013,0.11621,0.01689,2.55959,2.20496,0.00947895,0.00947895,0.00947895
12,100.516,0.01556,2.08498,2.04002,0.37639,0.28397,0.26874,0.10222,0.01869,2.96741,2.4633,0.00942684,0.00942684,0.00942684
13,108.611,0.01544,2.02497,2.00867,0.39493,0.39116,0.36341,0.17635,0.01775,3.11095,2.4015,0.00937474,0.00937474,0.00937474
14,116.691,0.01494,1.94652,1.96609,0.76487,0.36,0.42052,0.1773,0.0157,1.93082,2.0871,0.00932263,0.00932263,0.00932263
15,124.878,0.01489,1.94783,1.95787,0.80081,0.24476,0.29375,0.13782,0.01771,3.10954,2.31089,0.00927053,0.00927053,0.00927053
16,133.016,0.01481,1.92485,1.9497,0.6925,0.40305,0.44361,0.19043,0.01551,1.89074,2.0757,0.00921842,0.00921842,0.00921842
17,141.129,0.01462,1.87778,1.9123,0.52949,0.35453,0.38012,0.15581,0.01631,2.16191,2.10496,0.00916632,0.00916632,0.00916632
18,149.529,0.0146,1.85124,1.89408,0.60391,0.35781,0.40125,0.17407,0.0159,2.02601,2.08576,0.00911421,0.00911421,0.00911421
19,157.638,0.01427,1.82862,1.87974,0.60345,0.37347,0.38775,0.17945,0.01631,2.36416,2.18417,0.00906211,0.00906211,0.00906211
20,165.753,0.01428,1.79336,1.85982,0.81316,0.21786,0.22376,0.0921,0.01895,3.50833,2.50599,0.00901,0.00901,0.00901
21,173.916,0.01423,1.81001,1.8504,0.46318,0.27557,0.24174,0.10343,0.01814,3.25763,2.52657,0.00895789,0.00895789,0.00895789
22,182.077,0.01401,1.75574,1.83174,0.66721,0.37106,0.42055,0.20053,0.01547,2.18849,2.03333,0.00890579,0.00890579,0.00890579
23,190.153,0.01407,1.7353,1.81714,0.76591,0.33575,0.38756,0.17653,0.01609,2.28265,2.03344,0.00885368,0.00885368,0.00885368
24,198.259,0.01394,1.72968,1.8135,0.43829,0.37253,0.36971,0.17304,0.01609,2.49855,2.09849,0.00880158,0.00880158,0.00880158
25,206.596,0.01399,1.71963,1.81649,0.64841,0.28797,0.34367,0.15246,0.01688,2.60602,2.12923,0.00874947,0.00874947,0.00874947
26,214.787,0.01391,1.7074,1.79262,0.67304,0.22218,0.22375,0.10471,0.01907,3.26657,2.61417,0.00869737,0.00869737,0.00869737
27,223.022,0.01377,1.69893,1.7794,0.69825,0.23526,0.279,0.12451,0.01877,3.02986,2.49306,0.00864526,0.00864526,0.00864526
28,231.294,0.0138,1.66273,1.77953,0.47669,0.37829,0.39032,0.17724,0.01554,1.99933,2.04414,0.00859316,0.00859316,0.00859316
29,239.456,0.01368,1.6371,1.769,0.69375,0.40116,0.44882,0.21407,0.01693,2.81204,2.29176,0.00854105,0.00854105,0.00854105
30,247.675,0.01359,1.63051,1.76337,0.6887,0.20904,0.19204,0.08698,0.02043,4.18814,2.83465,0.00848895,0.00848895,0.00848895
31,255.767,0.01374,1.61993,1.75235,0.70313,0.21848,0.23773,0.10972,0.01815,3.48918,2.45973,0.00843684,0.00843684,0.00843684
32,263.751,0.01361,1.66337,1.7591,0.45813,0.46602,0.54807,0.27011,0.01495,1.73942,1.97888,0.00838474,0.00838474,0.00838474
33,271.873,0.01367,1.64304,1.74261,0.63468,0.51586,0.57862,0.26262,0.01452,1.77621,1.93912,0.00833263,0.00833263,0.00833263
34,279.948,0.01356,1.61792,1.73472,0.7724,0.36726,0.42889,0.19877,0.01558,2.05143,2.0078,0.00828053,0.00828053,0.00828053
35,288.007,0.01358,1.61631,1.74955,0.54898,0.53476,0.52424,0.25587,0.01577,2.10191,2.08401,0.00822842,0.00822842,0.00822842
36,296.09,0.01337,1.55889,1.72474,0.57936,0.50032,0.52614,0.26064,0.01483,1.76422,1.89716,0.00817632,0.00817632,0.00817632
37,304.121,0.0131,1.57453,1.73191,0.78397,0.41998,0.4769,0.22148,0.01475,2.76587,2.07226,0.00812421,0.00812421,0.00812421
38,312.183,0.01292,1.56172,1.74324,0.52379,0.57171,0.57305,0.2848,0.01403,2.01478,1.93654,0.00807211,0.00807211,0.00807211
39,320.308,0.01276,1.53149,1.71701,0.85431,0.50915,0.61502,0.3196,0.01412,1.6166,1.89947,0.00802,0.00802,0.00802
40,328.417,0.01264,1.56664,1.72596,0.53431,0.41937,0.43968,0.19365,0.01531,2.44945,2.05914,0.00796789,0.00796789,0.00796789
41,336.448,0.01257,1.53022,1.73836,0.78665,0.39704,0.46718,0.22368,0.01504,2.54338,2.03932,0.00791579,0.00791579,0.00791579
42,344.538,0.01255,1.54839,1.72633,0.52747,0.62664,0.56197,0.26122,0.01381,1.68632,1.87678,0.00786368,0.00786368,0.00786368
43,352.612,0.0124,1.50558,1.69981,0.46619,0.25057,0.23633,0.11951,0.01832,4.02434,2.70728,0.00781158,0.00781158,0.00781158
44,360.767,0.01244,1.55259,1.73087,0.64342,0.37291,0.37271,0.16616,0.01565,2.82449,2.10299,0.00775947,0.00775947,0.00775947
45,368.808,0.0122,1.48379,1.70569,0.76199,0.51174,0.55601,0.28318,0.0139,1.88618,1.91514,0.00770737,0.00770737,0.00770737
46,376.931,0.0123,1.49571,1.71363,0.69572,0.40447,0.46676,0.21209,0.01416,2.09763,1.94933,0.00765526,0.00765526,0.00765526
47,384.944,0.01237,1.51701,1.71715,0.72163,0.57301,0.6401,0.3123,0.01352,1.67292,1.8925,0.00760316,0.00760316,0.00760316
48,393.117,0.01221,1.47916,1.69407,0.74032,0.65579,0.66604,0.35275,0.01319,1.49246,1.85527,0.00755105,0.00755105,0.00755105
49,401.155,0.01222,1.48641,1.71492,0.85341,0.56958,0.66439,0.3299,0.01344,1.50335,1.85567,0.00749895,0.00749895,0.00749895
50,409.231,0.01212,1.47853,1.69009,0.68141,0.60928,0.64876,0.32398,0.01364,1.57349,1.85069,0.00744684,0.00744684,0.00744684
