epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34962,0.02344,4.45067,4.15371,0.00057,0.16381,0.00059,0.00016,0.02351,3.83772,4.0374,0.0705882,0.00326797,0.00326797
2,13.7221,0.02349,4.10167,3.92553,0.00051,0.20022,0.00486,0.00104,0.02344,3.7352,3.92598,0.0405538,0.00656691,0.00656691
3,20.0298,0.02297,3.78584,3.70409,0.34388,0.10231,0.01361,0.00263,0.023,4.40948,3.65753,0.0104847,0.00983111,0.00983111
4,26.4542,0.02133,3.3349,3.38954,0.18861,0.06281,0.00888,0.0025,0.02208,5.71564,3.58358,0.00984368,0.00984368,0.00984368
5,32.8089,0.01945,2.99735,3.12939,0.4135,0.16102,0.04144,0.01091,0.02188,13.169,3.48313,0.00979158,0.00979158,0.00979158
6,38.7903,0.0175,2.78727,2.88717,0.1298,0.31902,0.09679,0.02481,0.0186,4.12849,2.99806,0.00973947,0.00973947,0.00973947
7,44.8694,0.01574,2.61048,2.73598,0.34922,0.04937,0.01681,0.00438,0.02075,4.87771,3.55846,0.00968737,0.00968737,0.00968737
8,50.8942,0.01468,2.44128,2.59686,0.60697,0.17379,0.17203,0.06665,0.01727,4.50141,3.05673,0.00963526,0.00963526,0.00963526
9,57.0672,0.01412,2.34139,2.49435,0.43075,0.41133,0.31554,0.10709,0.0151,3.11232,2.57281,0.00958316,0.00958316,0.00958316
10,63.3326,0.01335,2.19857,2.40406,0.21384,0.16906,0.13687,0.04273,0.01814,3.60545,3.1111,0.00953105,0.00953105,0.00953105
11,69.5575,0.01295,2.14403,2.36877,0.38772,0.35752,0.31718,0.12838,0.01456,2.50428,2.57212,0.00947895,0.00947895,0.00947895
12,75.7216,0.01258,2.06032,2.30092,0.39886,0.40736,0.36084,0.1434,0.01484,2.53357,2.51814,0.00942684,0.00942684,0.00942684
13,81.9626,0.01242,2.05161,2.28898,0.65482,0.45103,0.49319,0.20728,0.01342,2.11087,2.3786,0.00937474,0.00937474,0.00937474
14,88.1306,0.01205,1.98628,2.25145,0.45926,0.23114,0.1824,0.06939,0.0166,3.56134,2.95106,0.00932263,0.00932263,0.00932263
15,94.2625,0.01202,1.98731,2.23348,0.47685,0.31219,0.31913,0.1404,0.01514,2.81639,2.68051,0.00927053,0.00927053,0.00927053
16,100.252,0.01184,1.93468,2.19449,0.69099,0.10616,0.12762,0.05867,0.0185,4.39408,3.2559,0.00921842,0.00921842,0.00921842
17,106.231,0.01165,1.90136,2.18065,0.76564,0.20842,0.2167,0.09167,0.01639,3.69996,2.8564,0.00916632,0.00916632,0.00916632
18,112.549,0.01155,1.85767,2.15908,0.55928,0.52732,0.55092,0.25811,0.01294,1.86268,2.28092,0.00911421,0.00911421,0.00911421
19,118.726,0.01135,1.82003,2.14205,0.71651,0.22349,0.19691,0.07851,0.01647,3.69672,2.88573,0.00906211,0.00906211,0.00906211
20,124.907,0.01134,1.80547,2.13313,0.58732,0.44111,0.48275,0.20836,0.01349,2.09491,2.3674,0.00901,0.00901,0.00901
21,131.27,0.0112,1.78232,2.12412,0.47595,0.46846,0.48257,0.21556,0.01387,2.1879,2.41433,0.00895789,0.00895789,0.00895789
22,137.55,0.01119,1.76476,2.1114,0.72067,0.50611,0.59773,0.27051,0.0127,1.78022,2.26745,0.00890579,0.00890579,0.00890579
23,143.832,0.01118,1.76883,2.10563,0.73656,0.19979,0.24803,0.11422,0.0173,3.98016,3.04983,0.00885368,0.00885368,0.00885368
24,150.111,0.01104,1.73244,2.06833,0.70184,0.25101,0.32549,0.14547,0.0152,3.06788,2.73314,0.00880158,0.00880158,0.00880158
25,156.332,0.01101,1.74205,2.06384,0.42023,0.16191,0.08303,0.03145,0.01757,4.87427,3.18982,0.00874947,0.00874947,0.00874947
26,162.507,0.01082,1.69723,2.05249,0.8056,0.12398,0.15009,0.06474,0.01833,4.36266,3.23282,0.00869737,0.00869737,0.00869737
27,168.677,0.0108,1.69435,2.04582,0.37573,0.38276,0.35062,0.15159,0.01517,3.07215,2.63859,0.00864526,0.00864526,0.00864526
28,174.772,0.01071,1.66142,2.03301,0.62527,0.2502,0.31706,0.13314,0.01472,2.79772,2.58232,0.00859316,0.00859316,0.00859316
29,180.929,0.01064,1.63878,2.00949,0.73199,0.56038,0.62587,0.3051,0.01211,1.67516,2.11773,0.00854105,0.00854105,0.00854105
30,187.065,0.01078,1.65784,2.03954,0.67306,0.54028,0.59022,0.28567,0.01228,1.73248,2.21568,0.00848895,0.00848895,0.00848895
31,193.216,0.01064,1.63127,2.01917,0.58685,0.20701,0.2015,0.07524,0.01746,3.9742,3.05712,0.00843684,0.00843684,0.00843684
